country,year,population
Svezia,2014,9644864
Svezia,2015,9747355
Svezia,2016,9851017
Svezia,2017,9995153
Svezia,2018,10120242
Svezia,2019,10230185
Svezia,2020,10327589
Svezia,2021,10379295
Svezia,2022,10452326
Svezia,2023,10521556
Svezia,2024,10551707
Svezia,2025,10587710
Slovenia,2014,2061085
Slovenia,2015,2062874
Slovenia,2016,2064188
Slovenia,2017,2065895
Slovenia,2018,2066880
Slovenia,2019,2080908
Slovenia,2020,2095861
Slovenia,2021,2108977
Slovenia,2022,2107180
Slovenia,2023,2116972
Slovenia,2024,2123949
Slovenia,2025,2130850
Slovacchia,2014,5415949
Slovacchia,2015,5421349
Slovacchia,2016,5426252
Slovacchia,2017,5435343
Slovacchia,2018,5443120
Slovacchia,2019,5450421
Slovacchia,2020,5457873
Slovacchia,2021,5459781
Slovacchia,2022,5434712
Slovacchia,2023,5428792
Slovacchia,2024,5424687
Slovacchia,2025,5419451
Francia,2014,66130000
Francia,2015,66420000
Francia,2016,66600000
Francia,2017,66770000
Francia,2018,66990000
Francia,2019,67260000
Francia,2020,67420000
Francia,2021,67640000
Francia,2022,67830000
Francia,2023,68040000
Francia,2024,68260000
Francia,2025,69080000
Repubblica Ceca,2014,10500000
Repubblica Ceca,2015,10520000
Repubblica Ceca,2016,10540000
Repubblica Ceca,2017,10560000
Repubblica Ceca,2018,10590000
Repubblica Ceca,2019,10610000
Repubblica Ceca,2020,10697000
Repubblica Ceca,2021,10706000
Repubblica Ceca,2022,10702000
Repubblica Ceca,2023,10660000
Repubblica Ceca,2024,10650000
Repubblica Ceca,2025,10640000
