country,year,sex,disease,prevalence
ES,2014,M,Allergy,12.1
ES,2019,M,Allergy,9.8
FI,2014,M,Allergy,26.6
FI,2019,M,Allergy,28.5
FR,2014,M,Allergy,11.5
FR,2019,M,Allergy,20.5
HR,2014,M,Allergy,10.5
HR,2019,M,Allergy,13.5
HU,2014,M,Allergy,13.5
HU,2019,M,Allergy,16.9
IE,2014,M,Allergy,9.7
IE,2019,M,Allergy,6.6
IT,2014,M,Allergy,14.0
IT,2019,M,Allergy,15.5
LT,2014,M,Allergy,4.7
LT,2019,M,Allergy,7.7
LU,2014,M,Allergy,21.5
LU,2019,M,Allergy,24.8
LV,2014,M,Allergy,7.6
LV,2019,M,Allergy,8.3
MT,2014,M,Allergy,13.8
MT,2019,M,Allergy,6.7
NL,2014,M,Allergy,15.6
NL,2019,M,Allergy,18.0
PL,2014,M,Allergy,6.7
PL,2019,M,Allergy,6.5
PT,2014,M,Allergy,14.6
PT,2019,M,Allergy,17.7
RO,2014,M,Allergy,0.9
RO,2019,M,Allergy,0.5
SE,2014,M,Allergy,20.2
SE,2019,M,Allergy,22.1
SI,2014,M,Allergy,13.5
SI,2019,M,Allergy,13.8
SK,2014,M,Allergy,10.9
SK,2019,M,Allergy,10.4
AT,2014,F,Arthrosis,16.1
AT,2019,F,Arthrosis,18.3
BE,2014,F,Arthrosis,22.1
BE,2019,F,Arthrosis,23.7
BG,2014,F,Arthrosis,10.2
BG,2019,F,Arthrosis,8.1
CY,2014,F,Arthrosis,6.4
CY,2019,F,Arthrosis,13.5
CZ,2014,F,Arthrosis,14.4
CZ,2019,F,Arthrosis,15.5
DE,2014,F,Arthrosis,21.1
DE,2019,F,Arthrosis,21.7
DK,2014,F,Arthrosis,20.6
DK,2019,F,Arthrosis,22.7
EE,2014,F,Arthrosis,3.3
EE,2019,F,Arthrosis,5.5
EL,2014,F,Arthrosis,10.0
EL,2019,F,Arthrosis,8.2
ES,2014,F,Arthrosis,25.4
ES,2019,F,Arthrosis,22.4
FI,2014,F,Arthrosis,26.3
FI,2019,F,Arthrosis,28.2
FR,2014,F,Arthrosis,25.4
FR,2019,F,Arthrosis,27.7
HR,2014,F,Arthrosis,7.9
HR,2019,F,Arthrosis,14.7
HU,2014,F,Arthrosis,22.6
HU,2019,F,Arthrosis,19.4
IE,2014,F,Arthrosis,3.3
IE,2019,F,Arthrosis,2.1
IT,2014,F,Arthrosis,24.7
IT,2019,F,Arthrosis,25.5
LT,2014,F,Arthrosis,11.0
LT,2019,F,Arthrosis,11.2
LU,2014,F,Arthrosis,23.3
LU,2019,F,Arthrosis,21.6
LV,2014,F,Arthrosis,13.3
LV,2019,F,Arthrosis,14.8
MT,2014,F,Arthrosis,16.0
MT,2019,F,Arthrosis,8.3
NL,2014,F,Arthrosis,18.6
NL,2019,F,Arthrosis,19.4
PL,2014,F,Arthrosis,19.3
PL,2019,F,Arthrosis,19.8
PT,2014,F,Arthrosis,32.9
PT,2019,F,Arthrosis,32.2
RO,2014,F,Arthrosis,6.2
RO,2019,F,Arthrosis,5.4
SE,2014,F,Arthrosis,16.4
SE,2019,F,Arthrosis,19.5
SI,2014,F,Arthrosis,6.3
SI,2019,F,Arthrosis,6.2
SK,2014,F,Arthrosis,15.0
SK,2019,F,Arthrosis,16.0
AT,2014,M,Arthrosis,8.6
AT,2019,M,Arthrosis,11.0
BE,2014,M,Arthrosis,12.4
BE,2019,M,Arthrosis,15.0
BG,2014,M,Arthrosis,4.5
BG,2019,M,Arthrosis,3.3
CY,2014,M,Arthrosis,3.0
CY,2019,M,Arthrosis,8.2
CZ,2014,M,Arthrosis,9.7
CZ,2019,M,Arthrosis,10.6
DE,2014,M,Arthrosis,13.0
DE,2019,M,Arthrosis,12.3
DK,2014,M,Arthrosis,14.4
DK,2019,M,Arthrosis,13.9
EE,2014,M,Arthrosis,1.4
EE,2019,M,Arthrosis,3.5
EL,2014,M,Arthrosis,3.6
EL,2019,M,Arthrosis,2.7
ES,2014,M,Arthrosis,12.2
ES,2019,M,Arthrosis,10.3
FI,2014,M,Arthrosis,17.2
FI,2019,M,Arthrosis,19.2
FR,2014,M,Arthrosis,15.4
FR,2019,M,Arthrosis,17.6
HR,2014,M,Arthrosis,3.5
HR,2019,M,Arthrosis,8.6
HU,2014,M,Arthrosis,17.3
HU,2019,M,Arthrosis,16.4
IE,2014,M,Arthrosis,3.6
IE,2019,M,Arthrosis,1.3
IT,2014,M,Arthrosis,12.7
IT,2019,M,Arthrosis,13.2
LT,2014,M,Arthrosis,3.8
LT,2019,M,Arthrosis,4.2
LU,2014,M,Arthrosis,14.3
LU,2019,M,Arthrosis,13.6
LV,2014,M,Arthrosis,6.0
LV,2019,M,Arthrosis,5.5
MT,2014,M,Arthrosis,9.2
MT,2019,M,Arthrosis,4.2
NL,2014,M,Arthrosis,12.1
NL,2019,M,Arthrosis,12.9
PL,2014,M,Arthrosis,10.2
PL,2019,M,Arthrosis,10.4
PT,2014,M,Arthrosis,16.1
PT,2019,M,Arthrosis,16.8
RO,2014,M,Arthrosis,3.0
RO,2019,M,Arthrosis,2.4
SE,2014,M,Arthrosis,8.8
SE,2019,M,Arthrosis,11.9
SI,2014,M,Arthrosis,2.5
SI,2019,M,Arthrosis,3.5
SK,2014,M,Arthrosis,7.9
SK,2019,M,Arthrosis,10.6
AT,2014,F,Asthma,4.6
AT,2019,F,Asthma,4.4
BE,2014,F,Asthma,4.1
BE,2019,F,Asthma,6.6
BG,2014,F,Asthma,3.3
BG,2019,F,Asthma,2.5
CY,2014,F,Asthma,5.2
CY,2019,F,Asthma,5.0
CZ,2014,F,Asthma,5.5
CZ,2019,F,Asthma,5.9
DE,2014,F,Asthma,6.9
DE,2019,F,Asthma,9.3
DK,2014,F,Asthma,6.2
DK,2019,F,Asthma,7.7
EE,2014,F,Asthma,2.9
EE,2019,F,Asthma,3.7
EL,2014,F,Asthma,5.2
EL,2019,F,Asthma,4.3
ES,2014,F,Asthma,5.0
ES,2019,F,Asthma,4.7
FI,2014,F,Asthma,11.3
FI,2019,F,Asthma,11.5
FR,2014,F,Asthma,9.4
FR,2019,F,Asthma,8.4
HR,2014,F,Asthma,2.9
HR,2019,F,Asthma,5.2
HU,2014,F,Asthma,5.7
HU,2019,F,Asthma,5.8
IE,2014,F,Asthma,10.1
IE,2019,F,Asthma,7.0
IT,2014,F,Asthma,5.0
IT,2019,F,Asthma,4.7
LT,2014,F,Asthma,3.0
LT,2019,F,Asthma,3.8
LU,2014,F,Asthma,7.0
LU,2019,F,Asthma,6.9
LV,2014,F,Asthma,3.9
LV,2019,F,Asthma,4.1
MT,2014,F,Asthma,6.9
MT,2019,F,Asthma,6.9
NL,2014,F,Asthma,6.2
NL,2019,F,Asthma,7.2
PL,2014,F,Asthma,4.6
PL,2019,F,Asthma,4.7
PT,2014,F,Asthma,6.1
PT,2019,F,Asthma,7.1
RO,2014,F,Asthma,2.1
RO,2019,F,Asthma,1.7
SE,2014,F,Asthma,9.4
SE,2019,F,Asthma,9.1
SI,2014,F,Asthma,5.5
SI,2019,F,Asthma,4.9
SK,2014,F,Asthma,4.8
SK,2019,F,Asthma,5.3
AT,2014,M,Asthma,3.9
AT,2019,M,Asthma,3.9
BE,2014,M,Asthma,4.3
BE,2019,M,Asthma,5.2
BG,2014,M,Asthma,2.1
BG,2019,M,Asthma,1.9
CY,2014,M,Asthma,4.0
CY,2019,M,Asthma,3.3
CZ,2014,M,Asthma,3.6
CZ,2019,M,Asthma,3.3
DE,2014,M,Asthma,5.4
DE,2019,M,Asthma,7.0
DK,2014,M,Asthma,6.6
DK,2019,M,Asthma,6.6
EE,2014,M,Asthma,2.2
EE,2019,M,Asthma,3.7
EL,2014,M,Asthma,3.6
EL,2019,M,Asthma,2.3
ES,2014,M,Asthma,4.4
ES,2019,M,Asthma,3.6
FI,2014,M,Asthma,7.4
FI,2019,M,Asthma,7.6
FR,2014,M,Asthma,8.1
FR,2019,M,Asthma,6.9
HR,2014,M,Asthma,3.0
HR,2019,M,Asthma,4.3
HU,2014,M,Asthma,4.1
HU,2019,M,Asthma,3.9
IE,2014,M,Asthma,8.8
IE,2019,M,Asthma,8.7
IT,2014,M,Asthma,4.9
IT,2019,M,Asthma,4.6
LT,2014,M,Asthma,2.3
LT,2019,M,Asthma,1.6
LU,2014,M,Asthma,6.0
LU,2019,M,Asthma,5.7
LV,2014,M,Asthma,2.4
LV,2019,M,Asthma,3.2
MT,2014,M,Asthma,4.8
MT,2019,M,Asthma,5.2
NL,2014,M,Asthma,4.3
NL,2019,M,Asthma,5.1
PL,2014,M,Asthma,3.5
PL,2019,M,Asthma,3.4
PT,2014,M,Asthma,4.2
PT,2019,M,Asthma,5.5
RO,2014,M,Asthma,1.8
RO,2019,M,Asthma,1.2
SE,2014,M,Asthma,6.2
SE,2019,M,Asthma,6.1
SI,2014,M,Asthma,4.7
SI,2019,M,Asthma,4.7
SK,2014,M,Asthma,2.7
SK,2019,M,Asthma,2.7
AT,2014,F,Coronary heart disease or angina pectoris,2.5
AT,2019,F,Coronary heart disease or angina pectoris,3.1
BE,2014,F,Coronary heart disease or angina pectoris,1.3
BE,2019,F,Coronary heart disease or angina pectoris,1.3
BG,2014,F,Coronary heart disease or angina pectoris,10.3
BG,2019,F,Coronary heart disease or angina pectoris,8.1
CY,2014,F,Coronary heart disease or angina pectoris,1.1
CY,2019,F,Coronary heart disease or angina pectoris,1.6
CZ,2014,F,Coronary heart disease or angina pectoris,4.2
CZ,2019,F,Coronary heart disease or angina pectoris,2.8
DE,2014,F,Coronary heart disease or angina pectoris,3.1
DE,2019,F,Coronary heart disease or angina pectoris,4.4
DK,2014,F,Coronary heart disease or angina pectoris,1.7
DK,2019,F,Coronary heart disease or angina pectoris,1.4
EE,2014,F,Coronary heart disease or angina pectoris,5.1
EE,2019,F,Coronary heart disease or angina pectoris,4.3
EL,2014,F,Coronary heart disease or angina pectoris,2.9
EL,2019,F,Coronary heart disease or angina pectoris,2.3
ES,2014,F,Coronary heart disease or angina pectoris,0.8
ES,2019,F,Coronary heart disease or angina pectoris,0.7
FI,2014,F,Coronary heart disease or angina pectoris,4.8
FI,2019,F,Coronary heart disease or angina pectoris,4.1
FR,2014,F,Coronary heart disease or angina pectoris,1.2
FR,2019,F,Coronary heart disease or angina pectoris,1.2
HR,2014,F,Coronary heart disease or angina pectoris,5.8
HR,2019,F,Coronary heart disease or angina pectoris,8.8
HU,2014,F,Coronary heart disease or angina pectoris,5.2
HU,2019,F,Coronary heart disease or angina pectoris,3.8
IE,2014,F,Coronary heart disease or angina pectoris,2.4
IE,2019,F,Coronary heart disease or angina pectoris,1.5
IT,2014,F,Coronary heart disease or angina pectoris,2.4
IT,2019,F,Coronary heart disease or angina pectoris,1.9
LT,2014,F,Coronary heart disease or angina pectoris,8.6
LT,2019,F,Coronary heart disease or angina pectoris,7.2
LU,2014,F,Coronary heart disease or angina pectoris,2.1
LU,2019,F,Coronary heart disease or angina pectoris,1.3
LV,2014,F,Coronary heart disease or angina pectoris,6.7
LV,2019,F,Coronary heart disease or angina pectoris,6.3
MT,2014,F,Coronary heart disease or angina pectoris,2.5
MT,2019,F,Coronary heart disease or angina pectoris,1.9
NL,2014,F,Coronary heart disease or angina pectoris,1.6
NL,2019,F,Coronary heart disease or angina pectoris,2.8
PL,2014,F,Coronary heart disease or angina pectoris,9.6
PL,2019,F,Coronary heart disease or angina pectoris,7.9
PT,2014,F,Coronary heart disease or angina pectoris,5.6
PT,2019,F,Coronary heart disease or angina pectoris,4.6
RO,2014,F,Coronary heart disease or angina pectoris,4.1
RO,2019,F,Coronary heart disease or angina pectoris,1.8
SE,2014,F,Coronary heart disease or angina pectoris,1.3
SE,2019,F,Coronary heart disease or angina pectoris,1.0
SI,2014,F,Coronary heart disease or angina pectoris,3.4
SI,2019,F,Coronary heart disease or angina pectoris,3.5
SK,2014,F,Coronary heart disease or angina pectoris,6.4
SK,2019,F,Coronary heart disease or angina pectoris,7.2
AT,2014,M,Coronary heart disease or angina pectoris,2.2
AT,2019,M,Coronary heart disease or angina pectoris,3.8
BE,2014,M,Coronary heart disease or angina pectoris,1.5
BE,2019,M,Coronary heart disease or angina pectoris,1.7
BG,2014,M,Coronary heart disease or angina pectoris,7.9
BG,2019,M,Coronary heart disease or angina pectoris,5.8
CY,2014,M,Coronary heart disease or angina pectoris,2.8
CY,2019,M,Coronary heart disease or angina pectoris,3.2
CZ,2014,M,Coronary heart disease or angina pectoris,4.4
CZ,2019,M,Coronary heart disease or angina pectoris,2.6
DE,2014,M,Coronary heart disease or angina pectoris,4.6
DE,2019,M,Coronary heart disease or angina pectoris,4.8
DK,2014,M,Coronary heart disease or angina pectoris,2.2
DK,2019,M,Coronary heart disease or angina pectoris,1.4
EE,2014,M,Coronary heart disease or angina pectoris,3.8
EE,2019,M,Coronary heart disease or angina pectoris,3.1
EL,2014,M,Coronary heart disease or angina pectoris,4.0
EL,2019,M,Coronary heart disease or angina pectoris,3.8
ES,2014,M,Coronary heart disease or angina pectoris,1.0
ES,2019,M,Coronary heart disease or angina pectoris,0.9
FI,2014,M,Coronary heart disease or angina pectoris,5.3
FI,2019,M,Coronary heart disease or angina pectoris,5.9
FR,2014,M,Coronary heart disease or angina pectoris,2.6
FR,2019,M,Coronary heart disease or angina pectoris,2.8
HR,2014,M,Coronary heart disease or angina pectoris,4.2
HR,2019,M,Coronary heart disease or angina pectoris,8.3
HU,2014,M,Coronary heart disease or angina pectoris,4.6
HU,2019,M,Coronary heart disease or angina pectoris,3.5
IE,2014,M,Coronary heart disease or angina pectoris,3.5
IE,2019,M,Coronary heart disease or angina pectoris,3.0
IT,2014,M,Coronary heart disease or angina pectoris,2.9
IT,2019,M,Coronary heart disease or angina pectoris,2.6
LT,2014,M,Coronary heart disease or angina pectoris,5.6
LT,2019,M,Coronary heart disease or angina pectoris,4.4
LU,2014,M,Coronary heart disease or angina pectoris,3.8
LU,2019,M,Coronary heart disease or angina pectoris,2.7
LV,2014,M,Coronary heart disease or angina pectoris,4.4
LV,2019,M,Coronary heart disease or angina pectoris,4.1
MT,2014,M,Coronary heart disease or angina pectoris,2.7
MT,2019,M,Coronary heart disease or angina pectoris,3.2
NL,2014,M,Coronary heart disease or angina pectoris,2.4
NL,2019,M,Coronary heart disease or angina pectoris,2.4
PL,2014,M,Coronary heart disease or angina pectoris,7.9
PL,2019,M,Coronary heart disease or angina pectoris,6.9
PT,2014,M,Coronary heart disease or angina pectoris,3.3
PT,2019,M,Coronary heart disease or angina pectoris,4.0
RO,2014,M,Coronary heart disease or angina pectoris,2.7
RO,2019,M,Coronary heart disease or angina pectoris,1.1
SE,2014,M,Coronary heart disease or angina pectoris,1.3
SE,2019,M,Coronary heart disease or angina pectoris,1.4
SI,2014,M,Coronary heart disease or angina pectoris,3.2
SI,2019,M,Coronary heart disease or angina pectoris,3.0
SK,2014,M,Coronary heart disease or angina pectoris,5.4
SK,2019,M,Coronary heart disease or angina pectoris,4.8
AT,2014,F,Chronic lower respiratory diseases (excluding asthma),4.6
AT,2019,F,Chronic lower respiratory diseases (excluding asthma),4.7
BE,2014,F,Chronic lower respiratory diseases (excluding asthma),4.6
BE,2019,F,Chronic lower respiratory diseases (excluding asthma),4.5
BG,2014,F,Chronic lower respiratory diseases (excluding asthma),5.1
BG,2019,F,Chronic lower respiratory diseases (excluding asthma),3.4
CY,2014,F,Chronic lower respiratory diseases (excluding asthma),2.9
CY,2019,F,Chronic lower respiratory diseases (excluding asthma),3.7
CZ,2014,F,Chronic lower respiratory diseases (excluding asthma),2.0
CZ,2019,F,Chronic lower respiratory diseases (excluding asthma),2.2
DE,2014,F,Chronic lower respiratory diseases (excluding asthma),5.2
DE,2019,F,Chronic lower respiratory diseases (excluding asthma),6.4
DK,2014,F,Chronic lower respiratory diseases (excluding asthma),3.0
DK,2019,F,Chronic lower respiratory diseases (excluding asthma),3.4
EE,2014,F,Chronic lower respiratory diseases (excluding asthma),1.9
EE,2019,F,Chronic lower respiratory diseases (excluding asthma),1.9
EL,2014,F,Chronic lower respiratory diseases (excluding asthma),2.9
EL,2019,F,Chronic lower respiratory diseases (excluding asthma),1.9
ES,2014,F,Chronic lower respiratory diseases (excluding asthma),3.3
ES,2019,F,Chronic lower respiratory diseases (excluding asthma),3.0
FI,2014,F,Chronic lower respiratory diseases (excluding asthma),2.9
FI,2019,F,Chronic lower respiratory diseases (excluding asthma),2.8
FR,2014,F,Chronic lower respiratory diseases (excluding asthma),6.4
FR,2019,F,Chronic lower respiratory diseases (excluding asthma),6.5
HR,2014,F,Chronic lower respiratory diseases (excluding asthma),4.0
HR,2019,F,Chronic lower respiratory diseases (excluding asthma),6.2
HU,2014,F,Chronic lower respiratory diseases (excluding asthma),5.2
HU,2019,F,Chronic lower respiratory diseases (excluding asthma),4.4
IE,2014,F,Chronic lower respiratory diseases (excluding asthma),2.9
IE,2019,F,Chronic lower respiratory diseases (excluding asthma),2.4
IT,2014,F,Chronic lower respiratory diseases (excluding asthma),5.6
IT,2019,F,Chronic lower respiratory diseases (excluding asthma),4.9
LT,2014,F,Chronic lower respiratory diseases (excluding asthma),7.0
LT,2019,F,Chronic lower respiratory diseases (excluding asthma),7.1
LU,2014,F,Chronic lower respiratory diseases (excluding asthma),4.8
LU,2019,F,Chronic lower respiratory diseases (excluding asthma),6.0
LV,2014,F,Chronic lower respiratory diseases (excluding asthma),4.5
LV,2019,F,Chronic lower respiratory diseases (excluding asthma),3.9
MT,2014,F,Chronic lower respiratory diseases (excluding asthma),1.5
MT,2019,F,Chronic lower respiratory diseases (excluding asthma),0.5
NL,2014,F,Chronic lower respiratory diseases (excluding asthma),6.2
NL,2019,F,Chronic lower respiratory diseases (excluding asthma),5.6
PL,2014,F,Chronic lower respiratory diseases (excluding asthma),3.4
PL,2019,F,Chronic lower respiratory diseases (excluding asthma),3.1
PT,2014,F,Chronic lower respiratory diseases (excluding asthma),6.9
PT,2019,F,Chronic lower respiratory diseases (excluding asthma),6.5
RO,2014,F,Chronic lower respiratory diseases (excluding asthma),1.7
RO,2019,F,Chronic lower respiratory diseases (excluding asthma),1.0
SE,2014,F,Chronic lower respiratory diseases (excluding asthma),1.6
SE,2019,F,Chronic lower respiratory diseases (excluding asthma),2.0
SI,2014,F,Chronic lower respiratory diseases (excluding asthma),4.0
SI,2019,F,Chronic lower respiratory diseases (excluding asthma),3.4
SK,2014,F,Chronic lower respiratory diseases (excluding asthma),3.0
SK,2019,F,Chronic lower respiratory diseases (excluding asthma),3.2
AT,2014,M,Chronic lower respiratory diseases (excluding asthma),4.3
AT,2019,M,Chronic lower respiratory diseases (excluding asthma),4.4
BE,2014,M,Chronic lower respiratory diseases (excluding asthma),3.4
BE,2019,M,Chronic lower respiratory diseases (excluding asthma),3.6
BG,2014,M,Chronic lower respiratory diseases (excluding asthma),4.1
BG,2019,M,Chronic lower respiratory diseases (excluding asthma),2.9
CY,2014,M,Chronic lower respiratory diseases (excluding asthma),1.9
CY,2019,M,Chronic lower respiratory diseases (excluding asthma),2.3
CZ,2014,M,Chronic lower respiratory diseases (excluding asthma),2.3
CZ,2019,M,Chronic lower respiratory diseases (excluding asthma),2.1
DE,2014,M,Chronic lower respiratory diseases (excluding asthma),5.1
DE,2019,M,Chronic lower respiratory diseases (excluding asthma),5.5
DK,2014,M,Chronic lower respiratory diseases (excluding asthma),3.8
DK,2019,M,Chronic lower respiratory diseases (excluding asthma),3.5
EE,2014,M,Chronic lower respiratory diseases (excluding asthma),1.8
EE,2019,M,Chronic lower respiratory diseases (excluding asthma),2.0
EL,2014,M,Chronic lower respiratory diseases (excluding asthma),3.8
EL,2019,M,Chronic lower respiratory diseases (excluding asthma),2.0
ES,2014,M,Chronic lower respiratory diseases (excluding asthma),3.9
ES,2019,M,Chronic lower respiratory diseases (excluding asthma),2.9
FI,2014,M,Chronic lower respiratory diseases (excluding asthma),3.3
FI,2019,M,Chronic lower respiratory diseases (excluding asthma),4.1
FR,2014,M,Chronic lower respiratory diseases (excluding asthma),5.0
FR,2019,M,Chronic lower respiratory diseases (excluding asthma),6.2
HR,2014,M,Chronic lower respiratory diseases (excluding asthma),4.1
HR,2019,M,Chronic lower respiratory diseases (excluding asthma),4.2
HU,2014,M,Chronic lower respiratory diseases (excluding asthma),3.0
HU,2019,M,Chronic lower respiratory diseases (excluding asthma),3.6
IE,2014,M,Chronic lower respiratory diseases (excluding asthma),3.2
IE,2019,M,Chronic lower respiratory diseases (excluding asthma),2.1
IT,2014,M,Chronic lower respiratory diseases (excluding asthma),5.2
IT,2019,M,Chronic lower respiratory diseases (excluding asthma),4.2
LT,2014,M,Chronic lower respiratory diseases (excluding asthma),4.5
LT,2019,M,Chronic lower respiratory diseases (excluding asthma),5.2
LU,2014,M,Chronic lower respiratory diseases (excluding asthma),5.5
LU,2019,M,Chronic lower respiratory diseases (excluding asthma),4.6
LV,2014,M,Chronic lower respiratory diseases (excluding asthma),2.6
LV,2019,M,Chronic lower respiratory diseases (excluding asthma),2.8
MT,2014,M,Chronic lower respiratory diseases (excluding asthma),0.8
MT,2019,M,Chronic lower respiratory diseases (excluding asthma),0.7
NL,2014,M,Chronic lower respiratory diseases (excluding asthma),5.0
NL,2019,M,Chronic lower respiratory diseases (excluding asthma),4.6
PL,2014,M,Chronic lower respiratory diseases (excluding asthma),2.7
PL,2019,M,Chronic lower respiratory diseases (excluding asthma),2.2
PT,2014,M,Chronic lower respiratory diseases (excluding asthma),4.8
PT,2019,M,Chronic lower respiratory diseases (excluding asthma),4.8
RO,2014,M,Chronic lower respiratory diseases (excluding asthma),2.3
RO,2019,M,Chronic lower respiratory diseases (excluding asthma),1.4
SE,2014,M,Chronic lower respiratory diseases (excluding asthma),1.2
SE,2019,M,Chronic lower respiratory diseases (excluding asthma),1.4
SI,2014,M,Chronic lower respiratory diseases (excluding asthma),3.7
SI,2019,M,Chronic lower respiratory diseases (excluding asthma),3.3
SK,2014,M,Chronic lower respiratory diseases (excluding asthma),2.3
SK,2019,M,Chronic lower respiratory diseases (excluding asthma),2.5
AT,2014,F,Cirrhosis of the liver,0.2
AT,2019,F,Cirrhosis of the liver,0.2
BE,2014,F,Cirrhosis of the liver,0.5
BE,2019,F,Cirrhosis of the liver,1.3
BG,2014,F,Cirrhosis of the liver,0.3
BG,2019,F,Cirrhosis of the liver,0.3
CY,2014,F,Cirrhosis of the liver,0.2
CY,2019,F,Cirrhosis of the liver,0.1
CZ,2014,F,Cirrhosis of the liver,0.2
CZ,2019,F,Cirrhosis of the liver,0.3
DE,2014,F,Cirrhosis of the liver,0.2
DE,2019,F,Cirrhosis of the liver,0.3
DK,2014,F,Cirrhosis of the liver,0.2
DK,2019,F,Cirrhosis of the liver,0.2
EE,2014,F,Cirrhosis of the liver,0.2
EE,2019,F,Cirrhosis of the liver,0.4
EL,2014,F,Cirrhosis of the liver,0.3
EL,2019,F,Cirrhosis of the liver,0.3
ES,2014,F,Cirrhosis of the liver,0.7
ES,2019,F,Cirrhosis of the liver,0.7
FI,2014,F,Cirrhosis of the liver,0.2
FI,2019,F,Cirrhosis of the liver,0.3
FR,2014,F,Cirrhosis of the liver,0.1
FR,2019,F,Cirrhosis of the liver,0.2
HR,2014,F,Cirrhosis of the liver,0.4
HR,2019,F,Cirrhosis of the liver,0.5
HU,2014,F,Cirrhosis of the liver,0.4
HU,2019,F,Cirrhosis of the liver,0.6
IE,2014,F,Cirrhosis of the liver,0.1
IE,2019,F,Cirrhosis of the liver,0.2
IT,2014,F,Cirrhosis of the liver,0.3
IT,2019,F,Cirrhosis of the liver,0.2
LT,2014,F,Cirrhosis of the liver,0.4
LT,2019,F,Cirrhosis of the liver,0.6
LU,2014,F,Cirrhosis of the liver,0.2
LU,2019,F,Cirrhosis of the liver,0.1
LV,2014,F,Cirrhosis of the liver,0.4
LV,2019,F,Cirrhosis of the liver,0.2
MT,2014,F,Cirrhosis of the liver,0.4
MT,2019,F,Cirrhosis of the liver,0.4
NL,2014,F,Cirrhosis of the liver,0.3
NL,2019,F,Cirrhosis of the liver,0.2
PL,2014,F,Cirrhosis of the liver,0.5
PL,2019,F,Cirrhosis of the liver,0.4
PT,2014,F,Cirrhosis of the liver,0.5
PT,2019,F,Cirrhosis of the liver,0.4
RO,2014,F,Cirrhosis of the liver,0.4
RO,2019,F,Cirrhosis of the liver,0.2
SE,2014,F,Cirrhosis of the liver,0.0
SE,2019,F,Cirrhosis of the liver,0.1
SI,2014,F,Cirrhosis of the liver,0.2
SI,2019,F,Cirrhosis of the liver,0.4
SK,2014,F,Cirrhosis of the liver,0.6
SK,2019,F,Cirrhosis of the liver,0.7
AT,2014,M,Cirrhosis of the liver,0.3
AT,2019,M,Cirrhosis of the liver,0.2
BE,2014,M,Cirrhosis of the liver,0.5
BE,2019,M,Cirrhosis of the liver,0.6
BG,2014,M,Cirrhosis of the liver,0.4
BG,2019,M,Cirrhosis of the liver,0.4
CY,2014,M,Cirrhosis of the liver,0.5
CY,2019,M,Cirrhosis of the liver,0.4
CZ,2014,M,Cirrhosis of the liver,0.2
CZ,2019,M,Cirrhosis of the liver,0.5
DE,2014,M,Cirrhosis of the liver,0.3
DE,2019,M,Cirrhosis of the liver,0.5
DK,2014,M,Cirrhosis of the liver,0.2
DK,2019,M,Cirrhosis of the liver,0.3
